Date,Close
11/2/2015,29.2
11/3/2015,29.13
11/4/2015,29.36
11/5/2015,28.66
11/6/2015,28.28
11/9/2015,27.09
11/10/2015,27.05
11/11/2015,26.5
11/12/2015,26.13
11/13/2015,25.18
11/16/2015,25.41
11/17/2015,25.23
11/18/2015,25.9
11/19/2015,26.32
11/20/2015,26.27
11/23/2015,25.2
11/24/2015,25.52
11/25/2015,26.06
11/27/2015,25.75
11/30/2015,25.4
12/1/2015,25.53
12/2/2015,25.4
12/3/2015,25.9
12/4/2015,25.02
12/7/2015,24.46
12/8/2015,24.99
12/9/2015,24.31
12/10/2015,25.91
12/11/2015,24.84
12/14/2015,24.92
12/15/2015,23.95
12/16/2015,24.3
12/17/2015,23.31
12/18/2015,22.99
12/21/2015,22.14
12/22/2015,22.56
12/23/2015,22.67
12/24/2015,22.97
12/28/2015,22.53
12/29/2015,22.47
12/30/2015,22.23
12/31/2015,23.14
1/4/2016,22.56
1/5/2016,21.92
1/6/2016,21.39
1/7/2016,20.26
1/8/2016,19.98
1/11/2016,19.65
1/12/2016,19.62
1/13/2016,18.68
1/14/2016,19
1/15/2016,17.94
1/19/2016,16.69
1/20/2016,17.38
1/21/2016,17.83
1/22/2016,17.84
1/25/2016,17.02
1/26/2016,17.01
1/27/2016,16.78
1/28/2016,16.49
1/29/2016,16.8
2/1/2016,17.91
2/2/2016,16.08
2/3/2016,16.56
2/4/2016,16.91
2/5/2016,15.72
2/8/2016,14.9
2/9/2016,14.4
2/10/2016,14.98
2/11/2016,14.31
2/12/2016,15.88
2/16/2016,16.36
2/17/2016,17.46
2/18/2016,18.43
2/19/2016,18.31
2/22/2016,18.3
2/23/2016,18.3
2/24/2016,18
2/25/2016,17.59
2/26/2016,17.94
2/29/2016,18.12
3/1/2016,17.85
3/2/2016,18.54
3/3/2016,19.31
3/4/2016,19.36
3/7/2016,19.17
3/8/2016,18.33
3/9/2016,17.66
3/10/2016,16.61
3/11/2016,16.81
3/14/2016,17.12
3/15/2016,16.19
3/16/2016,16.7
3/17/2016,16.85
3/18/2016,16.85
3/21/2016,16.89
3/22/2016,16.86
3/23/2016,16.01
3/24/2016,15.91
3/28/2016,15.6
3/29/2016,15.97
3/30/2016,16.36
3/31/2016,16.55
4/1/2016,15.98
4/4/2016,17.09
4/5/2016,17.05
4/6/2016,17.26
4/7/2016,16.98
4/8/2016,16.65
4/11/2016,16.51
4/12/2016,16.57
4/13/2016,17.37
4/14/2016,17.53
4/15/2016,17.58
4/18/2016,17.31
4/19/2016,16.92
4/20/2016,17.4
4/21/2016,17.51
4/22/2016,17.23
4/25/2016,17.09
4/26/2016,17.75
4/27/2016,14.86
4/28/2016,14.64
4/29/2016,14.62
5/2/2016,14.4
5/3/2016,14.01
5/4/2016,14.84
5/5/2016,14.12
5/6/2016,14.4
5/9/2016,14.2
5/10/2016,14.63
5/11/2016,14.59
5/12/2016,14.08
5/13/2016,14.1
5/16/2016,14.29
5/17/2016,14.34
5/18/2016,14.14
5/19/2016,14.15
5/20/2016,14.43
5/23/2016,14.41
5/24/2016,14.03
5/25/2016,14.41
5/26/2016,14.3
5/27/2016,15.1
5/31/2016,15.22
6/1/2016,15.02
6/2/2016,15.2
6/3/2016,15.2
6/6/2016,15.27
6/7/2016,15
6/8/2016,14.95
6/9/2016,14.6
6/10/2016,14.02
6/13/2016,14.55
6/14/2016,15.36
6/15/2016,15.96
6/16/2016,15.87
6/17/2016,16.1
6/20/2016,16.34
6/21/2016,16.32
6/22/2016,16.13
6/23/2016,17.04
6/24/2016,16.44
6/27/2016,15.84
6/28/2016,16.42
6/29/2016,16.83
6/30/2016,16.91
7/1/2016,17.28
7/5/2016,17.14
7/6/2016,17.2
7/7/2016,17.37
7/8/2016,18.08
7/11/2016,17.71
7/12/2016,18.1
7/13/2016,17.74
7/14/2016,17.96
7/15/2016,18.08
7/18/2016,18.65
7/19/2016,18.33
7/20/2016,18.56
7/21/2016,18.39
7/22/2016,18.37
7/25/2016,18.65
7/26/2016,18.45
7/27/2016,15.77
7/28/2016,16.31
7/29/2016,16.64
8/1/2016,16.64
8/2/2016,16.42
8/3/2016,17.61
8/4/2016,18.13
8/5/2016,18.26
8/8/2016,18.2
8/9/2016,18.68
8/10/2016,19.04
8/11/2016,19.78
8/12/2016,19.54
8/15/2016,20.86
8/16/2016,20.4
8/17/2016,20.17
8/18/2016,19
8/19/2016,18.98
8/22/2016,18.55
8/23/2016,18.69
8/24/2016,18.25
8/25/2016,18.32
8/26/2016,18.3
8/29/2016,18.47
8/30/2016,18.38
8/31/2016,19.21
9/1/2016,19.5
9/2/2016,19.55
9/6/2016,19.93
9/7/2016,19.87
9/8/2016,18.7
9/9/2016,18.11
9/12/2016,18.15
9/13/2016,17.76
9/14/2016,18.08
9/15/2016,18.3
9/16/2016,19.11
9/19/2016,18.36
9/20/2016,18.39
9/21/2016,18.49
9/22/2016,18.63
9/23/2016,22.62
9/26/2016,23.37
9/27/2016,23.72
9/28/2016,22.96
9/29/2016,23.01
9/30/2016,23.05
10/3/2016,24
10/4/2016,23.52
10/5/2016,24.87
10/6/2016,19.87
10/7/2016,19.85
10/10/2016,17.56
10/11/2016,18
10/12/2016,18.05
10/13/2016,17.79
10/14/2016,16.88
10/17/2016,16.73
10/18/2016,16.83
10/19/2016,17.07
10/20/2016,16.9
10/21/2016,18.09
10/24/2016,18.03
10/25/2016,17.26
10/26/2016,17.29
10/27/2016,17.4
10/28/2016,17.66
10/31/2016,17.95
11/1/2016,17.49
11/2/2016,17.61
11/3/2016,17.58
11/4/2016,18.02
11/7/2016,18.41
11/8/2016,18.38
11/9/2016,19.13
11/10/2016,18.37
11/11/2016,18.55
11/14/2016,19.14
11/15/2016,18.98
11/16/2016,18.63
11/17/2016,18.55
11/18/2016,18.73
11/21/2016,18.6
11/22/2016,18.63
11/23/2016,18.22
11/25/2016,18.06
11/28/2016,18.3
11/29/2016,18.19
11/30/2016,18.49
12/1/2016,18.03
12/2/2016,17.93
12/5/2016,18.23
12/6/2016,18.23
12/7/2016,19.48
12/8/2016,19.64
12/9/2016,19.65
12/12/2016,18.93
12/13/2016,19.37
12/14/2016,18.93
12/15/2016,18.79
12/16/2016,18.63
12/19/2016,18.24
12/20/2016,17.92
12/21/2016,17.08
12/22/2016,16.41
12/23/2016,16.5
12/27/2016,16.61
12/28/2016,16.39
12/29/2016,16.39
12/30/2016,16.3
1/3/2017,16.44
1/4/2017,16.86
1/5/2017,17.09
1/6/2017,17.17
1/9/2017,17.5
1/10/2017,17.37
1/11/2017,17.3
1/12/2017,17.38
1/13/2017,17.25
1/17/2017,16.96
1/18/2017,17.11
1/19/2017,16.79
1/20/2017,16.58
1/23/2017,16.61
1/24/2017,16.52
1/25/2017,16.73
1/26/2017,16.81
1/27/2017,16.57
1/30/2017,16.94
1/31/2017,17.62
2/1/2017,17.24
2/2/2017,17.78
2/3/2017,17.61
2/6/2017,17.93
2/7/2017,18.26
2/8/2017,18.72
2/9/2017,16.41
2/10/2017,15.58
2/13/2017,15.81
2/14/2017,16.52
2/15/2017,16.74
2/16/2017,16.35
2/17/2017,16.62
2/21/2017,16.42
2/22/2017,16.08
2/23/2017,16.03
2/24/2017,15.98
2/27/2017,16.06
2/28/2017,15.77
3/1/2017,15.79
3/2/2017,15.79
3/3/2017,15.75
3/6/2017,15.56
3/7/2017,15.18
3/8/2017,15.24
3/9/2017,15.22
3/10/2017,15.12
3/13/2017,15.21
3/14/2017,15.32
3/15/2017,15.03
3/16/2017,15.19
3/17/2017,15.08
3/20/2017,15.09
3/21/2017,14.54
3/22/2017,14.98
3/23/2017,14.93
3/24/2017,15.14
3/27/2017,14.99
3/28/2017,14.94
3/29/2017,15.04
3/30/2017,14.92
3/31/2017,14.95
4/3/2017,14.84
4/4/2017,14.69
4/5/2017,14.53
4/6/2017,14.39
4/7/2017,14.29
4/10/2017,14.36
4/11/2017,14.31
4/12/2017,14.42
4/13/2017,14.3
4/17/2017,14.4
4/18/2017,14.44
4/19/2017,14.54
4/20/2017,14.65
4/21/2017,14.63
4/24/2017,14.71
4/25/2017,14.66
4/26/2017,15.82
4/27/2017,16.61
4/28/2017,16.48
5/1/2017,17.54
5/2/2017,18.24
5/3/2017,18.57
5/4/2017,18.48
5/5/2017,18.69
5/8/2017,18.31
5/9/2017,18.37
5/10/2017,18.54
5/11/2017,18.39
5/12/2017,18.61
5/15/2017,19.23
5/16/2017,19.49
5/17/2017,18.28
5/18/2017,18.51
5/19/2017,18.35
5/22/2017,18.43
5/23/2017,18.15
5/24/2017,17.98
5/25/2017,17.95
5/26/2017,18.23
5/30/2017,18.43
5/31/2017,18.32
6/1/2017,18.53
6/2/2017,18.31
6/5/2017,18.23
6/6/2017,17.57
6/7/2017,17.44
6/8/2017,17.59
6/9/2017,16.9
6/12/2017,17.04
6/13/2017,16.97
6/14/2017,16.76
6/15/2017,16.83
6/16/2017,16.67
6/19/2017,17.06
6/20/2017,16.91
6/21/2017,17.78
6/22/2017,18.15
6/23/2017,18.5
6/26/2017,18.29
6/27/2017,18.12
6/28/2017,17.95
6/29/2017,17.65
6/30/2017,17.87
7/3/2017,17.65
7/5/2017,17.82
7/6/2017,17.92
